Region,Fem_Positivo,Fem_Negativo,Total_fem,Mas_Positivo,Mas_Negativo,Total_Mas
Hubei,34726,27811754,27846480,33402,29357845,29391247
Henan,581,46536295,46536876,695,47492368,47493063
Zhejiang,608,26460642,26461250,660,27964981,27965641
Guangdong,761,49919160,49919921,827,54399711,54400538
Hunan,494,31923809,31924303,525,33775934,33776459
Anhui,458,29254497,29254955,533,30244980,30245513
Jiangxi,445,21563831,21564276,492,23003029,23003521
Shandong,255,47345520,47345775,532,48446412,48446944
Jiangsu,298,39033936,39034234,355,39626352,39626707
Chongqing,275,14237025,14237300,304,14608566,14608870
Sichuan,263,39589431,39589694,298,40827536,40827834
Others,2416,276764285,276766701,2655,292540112,292542767
