"V1","V2","V3","V4","V5","V6"
"Hubei","0.8663","0.8344","0.8995","6212","6897"
"Henan","0.8614","0.6349","1.1651","90","125"
"Zhejiang","0.6586","0.4763","0.906","74","122"
"Guangdong","0.5917","0.393","0.8809","43","79"
"Hunan","0.6576","0.4574","0.9396","60","97"
"Anhui","0.7372","0.5072","1.0648","57","90"
"Jiangxi","0.6554","0.4384","0.9717","48","81"
"Shandong","1.2911","0.7422","2.2104","26","42"
"Jiangsu","0.6121","0.3252","1.1188","19","37"
"Chongqing","0.7925","0.505","1.2357","43","60"
"Sichuan","0.8981","0.5643","1.4223","42","53"
"Others","0.9199","0.7792","1.0853","303","362"
